Date,Ticker,Volume
2022-01-03,XOM,24282400
2022-01-04,XOM,38584000
2022-01-05,XOM,34033300
2022-01-06,XOM,30668500
2022-01-07,XOM,23985400
2022-01-10,XOM,22760300
2022-01-11,XOM,32936100
2022-01-12,XOM,23045100
2022-01-13,XOM,21043200
2022-01-14,XOM,23012900
2022-01-18,XOM,32841200
2022-01-19,XOM,26431600
2022-01-20,XOM,26774600
2022-01-21,XOM,35995200
2022-01-24,XOM,41507000
2022-01-25,XOM,39278400
2022-01-26,XOM,35252400
2022-01-27,XOM,29174700
2022-01-28,XOM,30595700
2022-01-31,XOM,36085500
2022-02-01,XOM,61033100
2022-02-02,XOM,30299300
2022-02-03,XOM,28529400
2022-02-04,XOM,32197500
2022-02-07,XOM,34949200
2022-02-08,XOM,34356300
2022-02-09,XOM,40106100
2022-02-10,XOM,28527700
2022-02-11,XOM,42002100
2022-02-14,XOM,34652800
2022-02-15,XOM,25075100
2022-02-16,XOM,21733800
2022-02-17,XOM,23738800
2022-02-18,XOM,23394800
2022-02-22,XOM,35947800
2022-02-23,XOM,25385000
2022-02-24,XOM,46199900
2022-02-25,XOM,28310300
2022-02-28,XOM,32204600
2022-03-01,XOM,40002300
2022-03-02,XOM,44321400
2022-03-03,XOM,30196600
2022-03-04,XOM,42802200
2022-03-07,XOM,55207900
2022-03-08,XOM,72082300
2022-03-09,XOM,65466700
2022-03-10,XOM,44644200
2022-03-11,XOM,35303400
2022-03-14,XOM,37462600
2022-03-15,XOM,47957900
2022-03-16,XOM,37812300
2022-03-17,XOM,34041900
2022-03-18,XOM,41461500
2022-03-21,XOM,33089300
2022-03-22,XOM,23132200
2022-03-23,XOM,27716300
2022-03-24,XOM,19871600
2022-03-25,XOM,22398300
2022-03-28,XOM,21552400
2022-03-29,XOM,27036300
2022-03-30,XOM,22079000
2022-03-31,XOM,27861500
2022-01-03,CVX,10717700
2022-01-04,CVX,16413100
2022-01-05,CVX,15487100
2022-01-06,CVX,13318500
2022-01-07,CVX,14164600
2022-01-10,CVX,12626100
2022-01-11,CVX,14609000
2022-01-12,CVX,12469200
2022-01-13,CVX,9691300
2022-01-14,CVX,13281000
2022-01-18,CVX,12905500
2022-01-19,CVX,12064300
2022-01-20,CVX,11370400
2022-01-21,CVX,13055700
2022-01-24,CVX,19513700
2022-01-25,CVX,19984500
2022-01-26,CVX,17266500
2022-01-27,CVX,20654100
2022-01-28,CVX,24817800
2022-01-31,CVX,16401800
2022-02-01,CVX,16169700
2022-02-02,CVX,10906700
2022-02-03,CVX,9447700
2022-02-04,CVX,13034700
